ID; Demand; FireStation; Risk; StationDist_km
221; 49; 588; LOW; 0.0229
413; 82; 572; HIGH; 0.0274
354; 27; 585; LOW; 0.0399
526; 29; 559; LOW; 0.0529
291; 17; 577; LOW; 0.0812
365; 16; 567; LOW; 0.0295
448; 19; 601; LOW; 0.1634
342; 70; 591; HIGH; 0.1062
211; 46; 577; LOW; 0.1123
330; 46; 571; LOW; 0.074
91; 26; 574; LOW; 0.0782
284; 37; 588; LOW; 0.0472
350; 18; 567; LOW; 0.0127
246; 74; 588; HIGH; 0.138
58; 63; 557; HIGH; 0.1524
115; 19; 580; LOW; 0.0384
340; 33; 557; LOW; 0.2233
467; 13; 555; LOW; 0.0922
156; 67; 560; HIGH; 0.1151
264; 33; 600; LOW; 0.0886
545; 18; 559; LOW; 0.1385
63; 12; 597; LOW; 0.0499
435; 79; 572; HIGH; 0.1013
26; 68; 560; HIGH; 0.1285
204; 27; 557; LOW; 0.1156
107; 32; 594; LOW; 0.034
459; 72; 555; HIGH; 0.0165
426; 16; 572; LOW; 0.1004
228; 61; 560; HIGH; 0.2344
275; 77; 593; HIGH; 0.1301
119; 63; 594; HIGH; 0.042
47; 66; 574; HIGH; 0.0635
213; 33; 600; LOW; 0.1971
361; 99; 571; HIGH; 0.0128
166; 74; 594; HIGH; 0.1038
414; 78; 572; HIGH; 0.0476
380; 18; 571; LOW; 0.0806
89; 71; 574; HIGH; 0.0749
483; 20; 569; LOW; 0.1249
373; 14; 571; LOW; 0.0692
485; 27; 555; LOW; 0.1896
492; 36; 569; LOW; 0.0611
395; 61; 596; HIGH; 0.0894
363; 10; 585; LOW; 0.0547
549; 86; 559; HIGH; 0.2332
159; 77; 577; HIGH; 0.1577
216; 34; 594; LOW; 0.1466
146; 34; 588; LOW; 0.0884
296; 41; 600; LOW; 0.1153
38; 16; 565; LOW; 0.0635
292; 12; 577; LOW; 0.109
514; 19; 586; LOW; 0.0513
238; 13; 589; LOW; 0.126
48; 10; 574; LOW; 0.0398
240; 41; 589; LOW; 0.0683
313; 98; 554; HIGH; 0.0211
489; 27; 569; LOW; 0.0602
23; 72; 565; HIGH; 0.1217
125; 86; 574; HIGH; 0.1451
0; 11; 580; LOW; 0.2805
62; 16; 597; LOW; 0.0798
157; 22; 577; LOW; 0.1118
102; 44; 597; LOW; 0.1189
332; 38; 585; LOW; 0.1824
268; 11; 589; LOW; 0.0565
194; 18; 594; LOW; 0.1108
207; 69; 593; HIGH; 0.0519
116; 76; 565; HIGH; 0.0366
408; 17; 590; LOW; 0.1107
507; 35; 569; LOW; 0.0185
135; 31; 577; LOW; 0.1468
405; 60; 596; HIGH; 0.0431
394; 100; 596; HIGH; 0.1192
528; 97; 586; HIGH; 0.0765
144; 12; 588; LOW; 0.0753
441; 15; 601; LOW; 0.0837
176; 75; 565; HIGH; 0.0928
384; 46; 567; LOW; 0.0729
288; 17; 557; LOW; 0.2013
276; 62; 593; HIGH; 0.1081
231; 60; 577; HIGH; 0.0496
274; 92; 557; HIGH; 0.1919
223; 29; 588; LOW; 0.0792
79; 92; 597; HIGH; 0.1126
479; 32; 555; LOW; 0.1536
239; 28; 589; LOW; 0.0968
182; 39; 593; LOW; 0.1323
148; 69; 565; HIGH; 0.0734
476; 50; 569; LOW; 0.1386
17; 29; 565; LOW; 0.0899
297; 73; 554; HIGH; 0.0451
272; 20; 588; LOW; 0.0543
281; 82; 600; HIGH; 0.1256
42; 81; 597; HIGH; 0.0428
447; 13; 601; LOW; 0.1338
10; 60; 597; HIGH; 0.1231
225; 46; 593; LOW; 0.11
185; 67; 577; HIGH; 0.0798
503; 15; 559; LOW; 0.0516
11; 41; 597; LOW; 0.0959
427; 85; 596; HIGH; 0.1143
53; 20; 580; LOW; 0.1349
81; 62; 597; HIGH; 0.056
339; 67; 585; HIGH; 0.12
551; 37; 559; LOW; 0.2468
265; 12; 589; LOW; 0.1315
410; 12; 591; LOW; 0.2721
327; 30; 591; LOW; 0.1313
122; 23; 594; LOW; 0.1307
55; 26; 565; LOW; 0.0356
106; 81; 594; HIGH; 0.0381
346; 14; 585; LOW; 0.0295
345; 49; 585; LOW; 0.0052
301; 21; 588; LOW; 0.068
252; 81; 593; HIGH; 0.0942
498; 24; 559; LOW; 0.1298
542; 71; 569; HIGH; 0.1108
114; 31; 580; LOW; 0.0605
390; 14; 567; LOW; 0.0891
220; 25; 588; LOW; 0.0188
92; 21; 574; LOW; 0.0953
298; 99; 554; HIGH; 0.0157
358; 67; 571; HIGH; 0.09
383; 12; 596; LOW; 0.0278
371; 31; 571; LOW; 0.0328
282; 20; 600; LOW; 0.0254
515; 47; 586; LOW; 0.0811
308; 49; 577; LOW; 0.1722
457; 49; 555; LOW; 0.1056
504; 100; 559; HIGH; 0.0695
318; 81; 577; HIGH; 0.1797
335; 35; 585; LOW; 0.0922
93; 34; 580; LOW; 0.073
172; 18; 588; LOW; 0.0724
8; 35; 565; LOW; 0.1834
61; 39; 597; LOW; 0.1097
305; 92; 557; HIGH; 0.2121
475; 20; 569; LOW; 0.1435
341; 81; 591; HIGH; 0.1329
201; 23; 588; LOW; 0.1132
27; 93; 560; HIGH; 0.0992
97; 11; 565; LOW; 0.0413
472; 27; 555; LOW; 0.1202
344; 83; 585; HIGH; 0.0314
286; 34; 588; LOW; 0.0662
169; 84; 588; HIGH; 0.0903
550; 36; 559; LOW; 0.234
132; 39; 560; LOW; 0.1578
152; 27; 597; LOW; 0.1171
278; 90; 577; HIGH; 0.1042
458; 31; 555; LOW; 0.0458
273; 33; 557; LOW; 0.1653
90; 84; 574; HIGH; 0.0705
368; 98; 571; HIGH; 0.0949
208; 69; 577; HIGH; 0.0477
181; 32; 557; LOW; 0.1735
57; 13; 565; LOW; 0.1042
539; 61; 586; HIGH; 0.1229
294; 30; 577; LOW; 0.1669
307; 43; 577; LOW; 0.1442
471; 26; 555; LOW; 0.1043
326; 93; 554; HIGH; 0.0711
389; 20; 596; LOW; 0.0079
162; 89; 600; HIGH; 0.1068
519; 20; 586; LOW; 0.0522
199; 26; 588; LOW; 0.0364
442; 28; 601; LOW; 0.1105
173; 11; 588; LOW; 0.095
534; 37; 586; LOW; 0.1123
320; 47; 585; LOW; 0.0965
517; 64; 559; HIGH; 0.0224
133; 46; 560; LOW; 0.1016
218; 62; 589; HIGH; 0.0935
167; 11; 594; LOW; 0.133
446; 42; 601; LOW; 0.1044
490; 62; 569; HIGH; 0.075
51; 68; 580; HIGH; 0.1053
259; 42; 577; LOW; 0.1032
50; 88; 574; HIGH; 0.0457
43; 60; 560; HIGH; 0.0364
164; 15; 594; LOW; 0.0294
488; 34; 555; LOW; 0.2206
530; 88; 586; HIGH; 0.0602
6; 30; 580; LOW; 0.1932
110; 19; 594; LOW; 0.1341
290; 68; 593; HIGH; 0.1237
548; 39; 559; LOW; 0.2049
206; 11; 593; LOW; 0.0751
98; 40; 565; LOW; 0.0708
29; 34; 560; LOW; 0.0258
477; 15; 569; LOW; 0.1456
75; 83; 565; HIGH; 0.0706
121; 21; 594; LOW; 0.1008
299; 19; 554; LOW; 0.016
411; 37; 591; LOW; 0.1967
464; 33; 555; LOW; 0.0372
438; 38; 590; LOW; 0.1302
536; 71; 586; HIGH; 0.0533
170; 15; 588; LOW; 0.0557
205; 88; 593; HIGH; 0.1043
20; 48; 574; LOW; 0.1162
525; 21; 559; LOW; 0.0249
351; 29; 571; LOW; 0.0894
7; 79; 565; HIGH; 0.1354
235; 74; 600; HIGH; 0.1912
509; 65; 569; HIGH; 0.1384
126; 60; 588; HIGH; 0.096
450; 32; 601; LOW; 0.0718
310; 45; 600; LOW; 0.0338
4; 22; 580; LOW; 0.2228
253; 31; 593; LOW; 0.0737
328; 35; 591; LOW; 0.1125
128; 20; 580; LOW; 0.0994
491; 77; 569; HIGH; 0.0416
256; 63; 577; HIGH; 0.0471
329; 15; 554; LOW; 0.0875
28; 26; 560; LOW; 0.0439
101; 17; 557; LOW; 0.1025
423; 26; 591; LOW; 0.21
513; 64; 559; HIGH; 0.0856
287; 84; 557; HIGH; 0.1761
465; 67; 555; HIGH; 0.0562
254; 18; 593; LOW; 0.063
150; 36; 557; LOW; 0.0689
190; 16; 577; LOW; 0.1479
219; 85; 588; HIGH; 0.0445
65; 19; 594; LOW; 0.0731
31; 24; 574; LOW; 0.0864
407; 13; 590; LOW; 0.0808
362; 10; 585; LOW; 0.0759
382; 66; 596; HIGH; 0.0648
54; 37; 565; LOW; 0.058
195; 30; 594; LOW; 0.1385
524; 50; 559; LOW; 0.0157
387; 37; 596; LOW; 0.0889
400; 39; 591; LOW; 0.2634
174; 19; 588; LOW; 0.1208
234; 90; 577; HIGH; 0.1353
24; 38; 597; LOW; 0.0865
463; 84; 555; HIGH; 0.0376
338; 38; 585; LOW; 0.0609
161; 25; 600; LOW; 0.1252
262; 87; 600; HIGH; 0.0707
527; 76; 559; HIGH; 0.0823
189; 36; 577; LOW; 0.1216
420; 36; 590; LOW; 0.0356
129; 50; 565; LOW; 0.0544
60; 38; 597; LOW; 0.1397
369; 23; 571; LOW; 0.0676
94; 70; 580; HIGH; 0.0562
39; 34; 565; LOW; 0.139
163; 46; 594; LOW; 0.057
186; 12; 577; LOW; 0.0667
552; 88; 559; HIGH; 0.2764
18; 11; 565; LOW; 0.0979
5; 18; 580; LOW; 0.1987
19; 93; 574; HIGH; 0.1461
451; 39; 601; LOW; 0.1018
188; 99; 577; HIGH; 0.0975
391; 10; 567; LOW; 0.092
226; 49; 593; LOW; 0.0828
84; 63; 594; HIGH; 0.0561
66; 85; 574; HIGH; 0.1262
200; 29; 588; LOW; 0.0851
401; 62; 572; HIGH; 0.0607
399; 29; 590; LOW; 0.1108
52; 99; 580; HIGH; 0.0924
462; 77; 555; HIGH; 0.0468
155; 87; 560; HIGH; 0.1205
151; 30; 557; LOW; 0.0296
279; 48; 577; LOW; 0.134
396; 25; 596; LOW; 0.0598
109; 18; 594; LOW; 0.1052
324; 99; 591; HIGH; 0.1185
270; 28; 588; LOW; 0.0284
180; 40; 557; LOW; 0.0236
495; 23; 569; LOW; 0.1433
375; 87; 585; HIGH; 0.1626
99; 14; 565; LOW; 0.1005
46; 79; 574; HIGH; 0.091
261; 41; 600; LOW; 0.0991
202; 48; 588; LOW; 0.1421
321; 37; 560; LOW; 0.3102
36; 26; 580; LOW; 0.1492
35; 36; 580; LOW; 0.1314
434; 23; 590; LOW; 0.1208
104; 76; 597; HIGH; 0.0501
494; 75; 569; HIGH; 0.1146
67; 100; 574; HIGH; 0.0995
70; 90; 574; HIGH; 0.0505
303; 39; 585; LOW; 0.1291
118; 36; 594; LOW; 0.016
171; 11; 588; LOW; 0.0572
111; 71; 574; HIGH; 0.0904
131; 93; 557; HIGH; 0.0766
316; 46; 588; LOW; 0.0981
393; 13; 572; LOW; 0.096
237; 87; 600; HIGH; 0.047
212; 38; 577; LOW; 0.1403
197; 65; 589; HIGH; 0.0944
25; 73; 597; HIGH; 0.0601
436; 69; 601; HIGH; 0.0757
41; 88; 597; HIGH; 0.0808
140; 36; 594; LOW; 0.1303
244; 85; 588; HIGH; 0.0188
13; 67; 580; HIGH; 0.1795
372; 27; 571; LOW; 0.0451
295; 30; 600; LOW; 0.0144
96; 35; 580; LOW; 0.0648
432; 81; 555; HIGH; 0.1524
453; 79; 555; HIGH; 0.0794
445; 45; 601; LOW; 0.0754
355; 71; 585; HIGH; 0.0252
44; 68; 594; HIGH; 0.093
374; 72; 585; HIGH; 0.0652
529; 64; 586; HIGH; 0.0338
331; 88; 585; HIGH; 0.0686
192; 79; 594; HIGH; 0.0516
86; 18; 594; LOW; 0.066
9; 62; 597; HIGH; 0.1938
496; 41; 559; LOW; 0.0676
15; 23; 565; LOW; 0.1098
85; 95; 594; HIGH; 0.0534
429; 42; 596; LOW; 0.0777
73; 75; 580; HIGH; 0.0817
505; 27; 559; LOW; 0.0938
360; 10; 571; LOW; 0.0318
198; 21; 589; LOW; 0.065
69; 68; 574; HIGH; 0.0566
64; 45; 597; LOW; 0.0707
260; 43; 577; LOW; 0.1332
224; 73; 557; HIGH; 0.121
480; 60; 569; HIGH; 0.1269
141; 33; 594; LOW; 0.1602
392; 96; 567; HIGH; 0.1039
456; 10; 555; LOW; 0.1356
311; 86; 554; HIGH; 0.0763
319; 30; 588; LOW; 0.1071
500; 47; 569; LOW; 0.1097
412; 45; 591; LOW; 0.1747
